offset_dec offset_hex byte_hex bits       field
       191 0x000000bf 00       00000000 block.tx[0].vout[1].value_satoshi
       192 0x000000c0 26       00100110 block.tx[0].vout[1].script_pubkey_length
       193 0x000000c1 6a       01101010 block.tx[0].vout[1].script_pubkey
       194 0x000000c2 24       00100100 block.tx[0].vout[1].script_pubkey
       195 0x000000c3 aa       10101010 block.tx[0].vout[1].script_pubkey
       196 0x000000c4 21       00100001 block.tx[0].vout[1].script_pubkey
       197 0x000000c5 a9       10101001 block.tx[0].vout[1].script_pubkey
       198 0x000000c6 ed       11101101 block.tx[0].vout[1].script_pubkey
       199 0x000000c7 b0       10110000 block.tx[0].vout[1].script_pubkey
       200 0x000000c8 25       00100101 block.tx[0].vout[1].script_pubkey
       201 0x000000c9 75       01110101 block.tx[0].vout[1].script_pubkey
       202 0x000000ca db       11011011 block.tx[0].vout[1].script_pubkey
       203 0x000000cb 4d       01001101 block.tx[0].vout[1].script_pubkey
       204 0x000000cc f1       11110001 block.tx[0].vout[1].script_pubkey
       205 0x000000cd 78       01111000 block.tx[0].vout[1].script_pubkey
       206 0x000000ce 7c       01111100 block.tx[0].vout[1].script_pubkey
       207 0x000000cf d4       11010100 block.tx[0].vout[1].script_pubkey
       208 0x000000d0 61       01100001 block.tx[0].vout[1].script_pubkey
       209 0x000000d1 c9       11001001 block.tx[0].vout[1].script_pubkey
       210 0x000000d2 6d       01101101 block.tx[0].vout[1].script_pubkey
       211 0x000000d3 bb       10111011 block.tx[0].vout[1].script_pubkey
       212 0x000000d4 9b       10011011 block.tx[0].vout[1].script_pubkey
       213 0x000000d5 fc       11111100 block.tx[0].vout[1].script_pubkey
       214 0x000000d6 f8       11111000 block.tx[0].vout[1].script_pubkey
       215 0x000000d7 6a       01101010 block.tx[0].vout[1].script_pubkey
       216 0x000000d8 9c       10011100 block.tx[0].vout[1].script_pubkey
       217 0x000000d9 4f       01001111 block.tx[0].vout[1].script_pubkey
       218 0x000000da a1       10100001 block.tx[0].vout[1].script_pubkey
       219 0x000000db 78       01111000 block.tx[0].vout[1].script_pubkey
       220 0x000000dc 0b       00001011 block.tx[0].vout[1].script_pubkey
