offset_dec offset_hex byte_hex bits       field
       152 0x00000098 c4       11000100 tx.vin[3].prev_txid_le
       153 0x00000099 f7       11110111 tx.vin[3].prev_txid_le
       154 0x0000009a d8       11011000 tx.vin[3].prev_txid_le
       155 0x0000009b cb       11001011 tx.vin[3].prev_txid_le
       156 0x0000009c 6b       01101011 tx.vin[3].prev_txid_le
       157 0x0000009d 91       10010001 tx.vin[3].prev_txid_le
       158 0x0000009e 07       00000111 tx.vin[3].prev_txid_le
       159 0x0000009f 63       01100011 tx.vin[3].prev_txid_le
       160 0x000000a0 68       01101000 tx.vin[3].prev_txid_le
       161 0x000000a1 9b       10011011 tx.vin[3].prev_txid_le
       162 0x000000a2 01       00000001 tx.vin[3].prev_vout
       163 0x000000a3 00       00000000 tx.vin[3].prev_vout
       164 0x000000a4 00       00000000 tx.vin[3].prev_vout
       165 0x000000a5 00       00000000 tx.vin[3].prev_vout
       166 0x000000a6 00       00000000 tx.vin[3].script_sig_length
       167 0x000000a7 ff       11111111 tx.vin[3].sequence
       168 0x000000a8 ff       11111111 tx.vin[3].sequence
       169 0x000000a9 ff       11111111 tx.vin[3].sequence
       170 0x000000aa ff       11111111 tx.vin[3].sequence
       171 0x000000ab 16       00010110 tx.vin[4].prev_txid_le
       172 0x000000ac 27       00100111 tx.vin[4].prev_txid_le
       173 0x000000ad ea       11101010 tx.vin[4].prev_txid_le
       174 0x000000ae f8       11111000 tx.vin[4].prev_txid_le
       175 0x000000af e4       11100100 tx.vin[4].prev_txid_le
       176 0x000000b0 32       00110010 tx.vin[4].prev_txid_le
       177 0x000000b1 7f       01111111 tx.vin[4].prev_txid_le
       178 0x000000b2 bb       10111011 tx.vin[4].prev_txid_le
       179 0x000000b3 34       00110100 tx.vin[4].prev_txid_le
       180 0x000000b4 64       01100100 tx.vin[4].prev_txid_le
       181 0x000000b5 ab       10101011 tx.vin[4].prev_txid_le
       182 0x000000b6 55       01010101 tx.vin[4].prev_txid_le
       183 0x000000b7 60       01100000 tx.vin[4].prev_txid_le
       184 0x000000b8 a5       10100101 tx.vin[4].prev_txid_le
       185 0x000000b9 63       01100011 tx.vin[4].prev_txid_le
       186 0x000000ba cf       11001111 tx.vin[4].prev_txid_le
       187 0x000000bb 04       00000100 tx.vin[4].prev_txid_le
       188 0x000000bc 74       01110100 tx.vin[4].prev_txid_le
       189 0x000000bd 71       01110001 tx.vin[4].prev_txid_le
       190 0x000000be 47       01000111 tx.vin[4].prev_txid_le
       191 0x000000bf 3b       00111011 tx.vin[4].prev_txid_le
       192 0x000000c0 cb       11001011 tx.vin[4].prev_txid_le
       193 0x000000c1 4e       01001110 tx.vin[4].prev_txid_le
       194 0x000000c2 c6       11000110 tx.vin[4].prev_txid_le
       195 0x000000c3 92       10010010 tx.vin[4].prev_txid_le
       196 0x000000c4 42       01000010 tx.vin[4].prev_txid_le
       197 0x000000c5 1c       00011100 tx.vin[4].prev_txid_le
       198 0x000000c6 9c       10011100 tx.vin[4].prev_txid_le
       199 0x000000c7 23       00100011 tx.vin[4].prev_txid_le
       200 0x000000c8 c0       11000000 tx.vin[4].prev_txid_le
       201 0x000000c9 93       10010011 tx.vin[4].prev_txid_le
       202 0x000000ca 4c       01001100 tx.vin[4].prev_txid_le
       203 0x000000cb 01       00000001 tx.vin[4].prev_vout
       204 0x000000cc 00       00000000 tx.vin[4].prev_vout
       205 0x000000cd 00       00000000 tx.vin[4].prev_vout
       206 0x000000ce 00       00000000 tx.vin[4].prev_vout
       207 0x000000cf 00       00000000 tx.vin[4].script_sig_length
       208 0x000000d0 ff       11111111 tx.vin[4].sequence
       209 0x000000d1 ff       11111111 tx.vin[4].sequence
       210 0x000000d2 ff       11111111 tx.vin[4].sequence
       211 0x000000d3 ff       11111111 tx.vin[4].sequence
       212 0x000000d4 01       00000001 tx.output_count
       213 0x000000d5 e8       11101000 tx.vout[0].value_satoshi
       214 0x000000d6 03       00000011 tx.vout[0].value_satoshi
       215 0x000000d7 00       00000000 tx.vout[0].value_satoshi
       216 0x000000d8 00       00000000 tx.vout[0].value_satoshi
       217 0x000000d9 00       00000000 tx.vout[0].value_satoshi
       218 0x000000da 00       00000000 tx.vout[0].value_satoshi
       219 0x000000db 00       00000000 tx.vout[0].value_satoshi
       220 0x000000dc 00       00000000 tx.vout[0].value_satoshi
       221 0x000000dd 16       00010110 tx.vout[0].script_pubkey_length
       222 0x000000de 00       00000000 tx.vout[0].script_pubkey
       223 0x000000df 14       00010100 tx.vout[0].script_pubkey
       224 0x000000e0 73       01110011 tx.vout[0].script_pubkey
       225 0x000000e1 f6       11110110 tx.vout[0].script_pubkey
       226 0x000000e2 8b       10001011 tx.vout[0].script_pubkey
       227 0x000000e3 13       00010011 tx.vout[0].script_pubkey
       228 0x000000e4 7b       01111011 tx.vout[0].script_pubkey
       229 0x000000e5 f1       11110001 tx.vout[0].script_pubkey
       230 0x000000e6 ee       11101110 tx.vout[0].script_pubkey
       231 0x000000e7 d5       11010101 tx.vout[0].script_pubkey
       232 0x000000e8 79       01111001 tx.vout[0].script_pubkey
       233 0x000000e9 fd       11111101 tx.vout[0].script_pubkey
       234 0x000000ea 81       10000001 tx.vout[0].script_pubkey
       235 0x000000eb 9b       10011011 tx.vout[0].script_pubkey
       236 0x000000ec 86       10000110 tx.vout[0].script_pubkey
       237 0x000000ed 5f       01011111 tx.vout[0].script_pubkey
       238 0x000000ee fc       11111100 tx.vout[0].script_pubkey
       239 0x000000ef c2       11000010 tx.vout[0].script_pubkey
       240 0x000000f0 6f       01101111 tx.vout[0].script_pubkey
       241 0x000000f1 27       00100111 tx.vout[0].script_pubkey
       242 0x000000f2 79       01111001 tx.vout[0].script_pubkey
       243 0x000000f3 4b       01001011 tx.vout[0].script_pubkey
       244 0x000000f4 01       00000001 tx.vin[0].witness_count
       245 0x000000f5 01       00000001 tx.vin[0].witness[0].length
       246 0x000000f6 51       01010001 tx.vin[0].witness[0].data
       247 0x000000f7 01       00000001 tx.vin[1].witness_count
       248 0x000000f8 01       00000001 tx.vin[1].witness[0].length
       249 0x000000f9 51       01010001 tx.vin[1].witness[0].data
       250 0x000000fa 01       00000001 tx.vin[2].witness_count
       251 0x000000fb 01       00000001 tx.vin[2].witness[0].length
       252 0x000000fc 51       01010001 tx.vin[2].witness[0].data
       253 0x000000fd 01       00000001 tx.vin[3].witness_count
       254 0x000000fe 01       00000001 tx.vin[3].witness[0].length
       255 0x000000ff 51       01010001 tx.vin[3].witness[0].data
       256 0x00000100 01       00000001 tx.vin[4].witness_count
       257 0x00000101 01       00000001 tx.vin[4].witness[0].length
       258 0x00000102 51       01010001 tx.vin[4].witness[0].data
       259 0x00000103 00       00000000 tx.locktime
       260 0x00000104 00       00000000 tx.locktime
       261 0x00000105 00       00000000 tx.locktime
       262 0x00000106 00       00000000 tx.locktime
